Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCenterDistrict,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLAG,PFIRM15_FLAG,Version,price_sf
BX,2567,30,201,27.02,2001,7,8,10454,E083,40,23,4700,2,1,2A,713 EAST 138 STREET,M1-2,,,,,,,,,,N,G1,10,0,,715 E. 138TH ST. REAL,9275,11575,11575,0,2300,2300,6975,0,0,0,2,1,2,0,2,92.12,100.8,92,100.8,,0,N,3,5,183600,676350,0,0,1931,2002,0,,,1.25,0,2,4.8,2,2025670030,0,2702,1008362,232646,6a,,209S033,21001,,0,,1,,,17v1.1,58.43196544
BX,2899,58,206,231,1011,9,15,10457,L027,48,25,1800,2,6,2A,4077 PARK AVENUE,M1-1,,,,,,,,,,N,E7,6,0,P,SP HHF SUB A LLC,9180,48000,48000,0,0,0,0,48000,0,0,2,1,5,0,7,102,90,100,80,E,0,Y,3,5,36000,2806200,0,2279565,1931,2004,0,,,5.23,0,1,2.4,2,2028990058,0,231,1011530,247091,3d,,215 034,21104,,0,,1,,,17v1.1,58.4625
BX,2664,1,201,79,4004,7,8,10455,E073,40,23,4100,2,1,2A,815 EAST 149 STREET,R7-1,,,,C1-4,,,,,,N,W1,8,0,C,DCAS/DEPARTMENT OF ED,30000,60200,60200,0,60200,0,0,0,0,0,2,1,4,0,1,200,150,50,70,,0,N,3,5,266850,3520800,266850,3520800,1900,1987,0,,,2.01,3.44,0,4.8,2,2026640001,0,79,1010338,235450,6c,,209N094,21004,,0,,1,,,17v1.1,58.48504983
BX,5419,110,210,164,1004,8,13,10465,E072,45,26,3210,2,10,3D,3439 EAST TREMONT AVENUE,R3A,,,,C1-2,,,,,,N,K4,4,0,,MONTEMURRO ENTERPRISE,1875,3370,1870,1500,0,1870,0,0,0,0,2,1,2,1,2,18.75,100,18.58,100,EG,0,N,3,5,45450,197100,0,0,1925,2016,0,,,1.8,0.6,0,1,2,2054190110,0,164,1031996,242660,4b,,221 034,21804,,0,,1,,,17v1.1,58.48664688
BX,2843,65,204,223,2001,9,16,10452,L044,44,25,2320,2,4,3A,1405 WALTON AVENUE,C4-4,R8,,,,,,,,,Y,C7,4,0,,WALTON AVENUE REALTY,10000,38266,3000,35266,0,3000,0,0,0,0,2,1,5,40,47,100,100,100,92,,0,N,3,5,36000,2238300,0,0,1923,0,0,,,3.83,3.44,3.4,6.5,2,2028430065,0,223,1007478,245274,3b,,215 004,21102,,0,,1,,,17v1.1,58.49317932
BX,2437,1,204,175,2001,9,16,10456,E092,44,22,2500,2,4,2B,1038 MORRIS AVENUE,R7-1,,,,C1-4,,,,,,N,K1,5,0,P,ITSMINE 2 REALTY LLC,7500,7500,7500,0,0,7500,0,0,0,0,2,1,1,0,6,75,100,75,100,,0,N,3,5,67500,438750,0,0,1931,0,0,,,1,3.44,0,4.8,2,2024370001,0,175,1007488,241444,3b,,210S046,20905,,0,,1,,,17v1.1,58.5
BX,3778,28,209,62,5001,12,18,10472,E096,43,26,3010,2,9,2A,1260 MORRISON AVENUE,R6,,,,,,,,,,N,K1,5,0,,"JJC PROPERTY NYC, LLC",10000,9400,9400,0,0,9400,0,0,0,0,2,1,1,0,6,100,100,100,81,,0,N,5,5,144000,549900,0,0,1925,0,0,,,0.94,2.43,0,4.8,2,2037780028,0,62,1018911,242177,3d,,217 017,21410,,0,,1,,,17v1.1,58.5
BX,4072,19,210,200,2010,11,13,10461,L050,45,26,1320,2,10,1E,1341 BLONDELL AVENUE,M1-1,,,,,,,,,,N,G2,10,0,P,ANTONIO ASSALONE,6750,6600,6600,0,0,0,6600,0,0,0,2,1,1,0,1,75,90,75,88,,0,N,5,5,54000,386100,0,0,1949,0,0,,,0.98,0,1,2.4,2,2040720019,0,200,1027857,246021,4b,,219 073,21506,,0,,1,,,17v1.1,58.5
BX,2286,36,201,41,2002,7,8,10454,L017,40,23,4500,2,1,1A,452 EAST 142 STREET,R6,,,,,,,,,,N,W1,8,0,C,DCAS/DEPARTMENT OF ED,116775,146320,146320,0,0,0,0,0,0,146320,2,1,4,0,1,467.33,245.17,338,69,,0,Y,3,5,657000,8559900,657000,8559900,1957,0,0,,,1.25,2.43,0,4.8,2,2022860036,0,41,1006740,234506,6a,,209S028,20901,,0,,1,,,17v1.1,58.50123018
BX,2571,1,201,33,2000,7,8,10454,E083,40,23,4400,2,1,2A,677 EAST 141 STREET,R6,,,,C1-4,,,,,,N,W1,8,0,C,DCAS/DEPARTMENT OF ED,63200,92000,92000,0,0,0,0,0,0,92000,2,1,5,0,1,316.58,200.67,200,92,E,0,Y,3,5,398250,5383350,398250,5383350,1925,0,0,,,1.46,2.43,0,4.8,2,2025710001,0,33,1008451,233687,6a,Y,209S034,21001,,0,,1,,,17v1.1,58.51467391
BX,4171,1,210,266.02,1003,8,13,10461,E089,45,26,1420,2,10,1D,3030 ROBERTS AVENUE,R5,R7-1,,,,,,,,,Y,W1,8,0,C,DCAS/DEPARTMENT OF ED,56000,113500,113500,0,113500,0,0,0,0,0,2,3,5,0,1,200,280,190,150,E,0,N,3,5,513000,6641550,513000,6641550,1929,1930,2012,,,2.03,1.25,0,2,2,2041710001,0,26602,1031405,247317,4b,,221 005,21508,,0,,1,,,17v1.1,58.51585903
BX,5642,118,210,516,3010,11,13,10464,E070,45,24,720,2,10,1C,169 SCHOFIELD STREET,R3A,,,,,,CD,,,,N,Y1,8,0,C,FIRE DEPARTMENT,5900,6912,6912,0,0,0,0,0,0,6912,2,1,2,0,1,50,118,36,96,,0,N,5,5,55800,404550,55800,404550,1939,0,0,,,1.17,0.6,0,1,2,2056420118,0,516,1043829,247414,4d,,218 066,21810,,0,,1,,,17v1.1,58.52864583
BX,5640,114,210,516,3012,11,13,10464,E070,45,24,720,2,10,1C,151 MARINE STREET,R3A,,,,,,CD,,,,N,C3,2,0,,ADAM CALBO,5000,1632,0,1632,0,0,0,0,0,0,2,2,2,4,4,50,100,24,34,,0,N,5,5,14496,95528,2360,2360,1930,1941,0,,,0.33,0.6,0,1,2,2056400114,0,516,1044169,245607,4d,,218 068,21810,,0,,1,,,17v1.1,58.53431373
BX,4823,1,212,420,1002,11,12,10466,E063,47,24,510,2,12,3C,500 BRONX BOULEVARD,R7-1,,,,,,,,,,N,W1,8,0,C,DCAS/DEPARTMENT OF ED,73476,60655,60655,0,0,0,0,0,0,60655,2,2,4,0,1,350,209.75,311.25,59.67,,0,N,3,5,558000,3550500,558000,3550500,1932,0,0,,,0.83,3.44,0,4.8,2,2048230001,0,420,1022422,264358,2b,,222 021,21701,,0,,1,,,17v1.1,58.53598219
BX,4570,25,212,338,2000,11,15,10467,L032,47,24,810,2,12,1D,744 BURKE AVENUE,R6,,,,C1-3,,,,,,N,K1,5,0,,SIGNORE J & B LLC,10000,9693,9693,0,0,9693,0,0,0,0,2,1,1,0,7,100,100,100,100,,0,N,3,5,157500,567450,0,0,1927,2003,0,,,0.97,2.43,0,4.8,2,2045700025,0,338,1021606,256682,2b,Y,218 002,21605,,0,,1,,,17v1.1,58.54224698
BX,3844,25,210,96,2020,11,18,10462,E064,45,26,1320,2,10,1E,2425 WATERBURY AVENUE,M1-1,,,,,,,,,,N,O1,5,0,C,NYC DCAS,19081,6800,6800,0,6800,0,0,0,0,0,2,1,1,0,1,145,181,68,100,,0,Y,5,5,128700,398250,128700,398250,2007,0,0,,,0.36,0,1,2.4,2,2038440025,0,96,1027683,243729,4b,,219 035,21412,,2038440016,12/10/2008,1,,,17v1.1,58.56617647
BX,5244,1,210,462.01,1011,11,12,10475,E066,45,24,710,2,10,1D,2302 TILLOTSON AVENUE,M1-1,,,,,,,,,,N,E7,6,0,P,OVAL I95 LLC,68708,127120,127120,0,0,0,0,127120,0,0,2,1,4,0,1,334.57,163.95,3345.7,163.95,,1,Y,1,0,927450,7445250,0,0,2016,2015,0,,,1.85,0,1,2.4,2,2052440001,0,46201,,,2b,,222 069,21710,,0,,1,,,17v1.1,58.56867527
